,0
2146,from
2147,job.Interacting
2148,decided
2149,a
2150,the
2151,ecology
2152,skills.
2153,"sector,"
2154,bren
2155,able
2156,science.Since
2157,to
2158,want
2159,of
2160,and
2161,conservation
2162,degree
2163,take
2164,passion
2165,ideas
2166,from
2167,make
2168,to
2169,to
2170,learning
2171,stakeholder
2172,to
2173,and
2174,came
2175,the
2176,me
2177,looking
2178,problem
2179,address
2180,solving
2181,about
2182,the
2183,nor
2184,have
2185,destroying
2186,Bren
2187,material
2188,to
2189,gaining
2190,the
2191,been
2192,the
2193,"environment,"
2194,and
2195,mostly
2196,best
2197,future.I
2198,problems.I
2199,need
2200,working
2201,my
2202,looking
2203,I
2204,solving
2205,feel
2206,professionals
2207,toward
2208,what
2209,create
2210,my
2211,speed
2212,broad
2213,program!
2214,problems
2215,can.
2216,looking
2217,topics.
2218,environmental
2219,
2220,solve
2221,to
2222,establishing
2223,policy
2224,most
2225,I
2226,and
2227,models
2228,types
2229,environmental
2230,research
2231,I
2232,it
2233,impact
2234,the
2235,skills
2236,instructors
2237,knowledge
2238,and
2239,significant
2240,impact
2241,interested
2242,pursue
2243,to
2244,"skills/knowledge,"
2245,solving.
2246,"research,"
2247,a
2248,look
2249,somewhere
2250,of
2251,role).
2252,environmentTransition
2253,decided
2254,always
2255,I
2256,better
2257,in
2258,collaborating
2259,elevate
2260,economic
2261,Bren
2262,am
2263,(I've
2264,I
2265,to
2266,am
2267,previously
2268,Rigorous
2269,experienced
2270,to
2271,wanted
2272,education
2273,to
2274,the
2275,I
2276,many
2277,more
2278,being
2279,"deep,"
2280,look
2281,applicable
2282,"work,"
2283,of
2284,in
2285,within
2286,help
2287,the
2288,my
2289,from
2290,solve
2291,know
2292,environment
2293,a
2294,of
2295,making
2296,add
2297,data-driven
2298,in
2299,undergraduate
2300,and
2301,believe
2302,problems
2303,certain
2304,the
2305,networkI
2306,have
2307,all
2308,necessary
2309,spaces
2310,to
2311,I'm
2312,science
2313,develop
2314,I
2315,to
2316,Career
2317,give
2318,environmental
2319,to
2320,invaluable
2321,learn
2322,policy
2323,Bren
2324,to
2325,populations.
2326,in
2327,problems.
2328,to
2329,skills
2330,"experience,"
2331,work
2332,to
2333,in
2334,and
2335,contribute
2336,folks
2337,"policy,"
2338,environmental
2339,I
2340,courses
2341,to
2342,school
2343,others
2344,am
2345,environmental
2346,about
2347,for
2348,to
2349,as
2350,about
2351,the
2352,reputation
2353,building
2354,was
2355,people
2356,economic
2357,necessary
2358,role
2359,decided
2360,more
2361,making
2362,to
2363,themI
2364,such
2365,Bren
2366,so
2367,for
2368,continued
2369,to
2370,I
2371,many
2372,forward
2373,I
2374,the
2375,environmental
2376,of
2377,different
2378,but
2379,upon
2380,to
2381,most
2382,necessary
2383,resourcesI
2384,in
2385,most
2386,similar
2387,from
2388,regenerative
2389,group
2390,to
2391,To
2392,to
2393,learned
2394,with
2395,to
2396,it
2397,developmentI
2398,Bren
2399,of
2400,and
2401,to
2402,most
2403,to
2404,of
2405,and
2406,career
2407,is
2408,"""right"
2409,an
2410,and
2411,scientific
2412,to
2413,and
2414,to
2415,daily
2416,statesThe
2417,everyone
2418,issues
2419,solving
2420,my
2421,with
2422,felt
2423,"friends,"
2424,career
2425,field.
2426,to
2427,"world,"
2428,I
2429,in
2430,while
2431,to
2432,attend
2433,that
2434,science
2435,in
2436,manner
2437,learning
2438,my
2439,issues.
2440,I
2441,with
2442,interdisciplinary
2443,the
2444,and
2445,to
2446,the
2447,environmental
2448,excited
2449,today.
2450,environmental
2451,to
2452,knowledge
2453,do
2454,more
2455,new
2456,I
2457,difference
2458,in
2459,environmental
2460,of
2461,want
2462,been
2463,being
2464,gaining
2465,interests.
2466,resourcesI
2467,and
2468,I
2469,we
2470,to
2471,want
2472,really
2473,pivot
2474,the
2475,natural
2476,knowledge
2477,to
2478,undergrad
2479,more
2480,more
2481,ideas
2482,also
2483,confirmed
2484,had
2485,career
2486,conservation
2487,relationships.
2488,system
2489,challenging
2490,in
2491,value
2492,meeting
2493,an
2494,about
2495,marine
2496,wouldn't
2497,environmental
2498,students
2499,change
2500,"Networking,"
2501,"fields,"
2502,get
2503,Bren
2504,my
2505,job
2506,learn
2507,me
2508,receiving
2509,planet's
2510,to
2511,"things,"
2512,the
2513,gain
2514,I
2515,conservation
2516,I
2517,US.
2518,gov
2519,option
2520,looking
